"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.040274551E0,1.417446136E-2,6.271424890E-2,-1.797658205E-1
4.059289447E0,8.887290955E-3,4.905074835E-2,-1.517645121E-1
4.078304343E0,-5.070495605E-2,3.787076473E-2,-1.752339602E-1
4.097319239E0,-4.507923126E-2,3.680402040E-2,-1.865820885E-1
4.116334135E0,2.355194092E-2,-4.386110604E-2,-2.058719397E-1
4.135349030E0,6.650543213E-2,-8.286496997E-2,-2.092921734E-1
4.154363926E0,-2.469062805E-3,-7.721953094E-2,-1.806081533E-1
4.173378822E0,-5.649375916E-2,-1.093301326E-1,-1.649266481E-1
4.192393718E0,-3.125572205E-2,-1.536929905E-1,-1.602556705E-1
4.211408614E0,1.043510437E-2,-1.934416294E-1,-1.452715397E-1
4.230423510E0,2.752685547E-2,-2.027508467E-1,-1.169519424E-1
4.249438405E0,2.169418335E-2,-1.684969515E-1,-7.758748531E-2
4.268453301E0,-1.961326599E-2,-1.343470067E-1,-1.603782177E-2
4.287468197E0,-5.111217499E-2,-1.345863491E-1,-2.535092831E-2
4.306483093E0,-5.361175537E-2,-1.438922286E-1,-6.962823868E-2
4.325497989E0,-1.490497589E-2,-1.696883589E-1,-8.827745914E-2
4.344512885E0,-5.334854126E-3,-1.670847535E-1,-3.364539146E-2
4.363527780E0,-6.602382660E-2,-1.448506415E-1,-1.368474960E-2
4.382542676E0,-9.358596802E-2,-7.205596566E-2,1.374709606E-2
4.401557572E0,-6.209087372E-2,-7.477837801E-2,-3.383398056E-3
4.420572468E0,-1.197433472E-2,-4.715347290E-2,-3.482258320E-2
4.439587416E0,2.262115479E-3,-1.354134083E-2,-3.723621368E-2
4.458602260E0,-3.761005402E-2,5.128568411E-2,-2.649259567E-2
4.477617207E0,-8.558464050E-2,3.973227739E-2,-2.450108528E-3
4.496632051E0,-5.301380157E-2,5.340668559E-2,-1.903510094E-2
4.515646947E0,-3.493022919E-2,1.842880249E-2,-6.162631512E-2
4.534661843E0,-1.594352722E-2,-1.634022593E-2,-7.374095917E-2
4.553676739E0,-6.856918335E-3,-1.671662927E-2,-9.785199165E-2
4.572691635E0,-4.005718231E-2,-2.800601721E-2,-8.985781670E-2
4.591706530E0,-5.593013763E-2,-1.060478985E-1,-5.502533913E-2
4.610721426E0,-6.459236145E-3,-6.152969599E-2,-9.472858906E-2
4.629736322E0,2.218818665E-2,-3.854413331E-2,-9.933888912E-2
4.648751218E0,-4.624366760E-2,-4.600740969E-2,-2.506506443E-2
4.667766114E0,-4.573154449E-2,-4.597690701E-2,-2.112400532E-2
4.686781010E0,-1.604461670E-2,-4.057174921E-2,-6.658208370E-2
4.705795905E0,-5.925178528E-3,-4.335382581E-2,-1.052606106E-1
4.724810801E0,-1.485824585E-2,-2.933278680E-2,-8.568286896E-2
4.743825697E0,-3.535079956E-2,-5.290323496E-2,-5.657470226E-2
4.762840593E0,-3.852653503E-2,-6.740930676E-2,-5.473816395E-2
4.781855489E0,-1.252365112E-2,-5.787168443E-2,-6.641364098E-2
4.800870385E0,9.469985962E-4,-1.737293601E-2,-9.085643291E-2
4.819885280E0,-1.850414276E-2,-9.752422571E-3,-1.171205044E-1
4.838900176E0,-6.096744537E-2,-6.543874741E-2,-1.293282509E-1
4.857915072E0,-5.319213867E-2,-1.152332276E-1,-1.158858538E-1
4.876929968E0,9.063720703E-3,-1.281738132E-1,-1.091982126E-1
4.895944864E0,4.164505005E-2,-9.085322917E-2,-7.680499554E-2
4.914959760E0,5.866050720E-3,-2.970978618E-2,-7.010006905E-2
4.933974655E0,-4.380321503E-2,-7.499903440E-3,-1.000554562E-1
4.952989551E0,-4.967880249E-2,-1.705467701E-3,-1.176966429E-1
4.972004447E0,-3.401565552E-2,-7.578879595E-3,-1.225968599E-1
4.991019343E0,-8.621215820E-3,-3.405246139E-2,-1.165702343E-1
5.010034239E0,-9.350776672E-3,-8.548173308E-2,-1.171039343E-1
5.029049135E0,-2.690315247E-3,-9.729018807E-2,-1.432287693E-1
5.048064030E0,-1.289463043E-2,-6.601297855E-2,-1.404236555E-1
5.067078926E0,-1.819515228E-2,-3.332564235E-2,-1.253978014E-1
5.086093822E0,-3.111457825E-2,-3.197598457E-2,-9.300506115E-2
5.105108718E0,-1.565361023E-2,-3.601759672E-2,-1.011221409E-1
5.124123614E0,1.801490784E-3,-3.264871240E-2,-1.382517815E-1
5.143138510E0,-1.227188110E-2,-2.026158571E-2,-1.389194727E-1
5.162153405E0,-2.071666718E-2,-3.983289003E-3,-1.274557114E-1
5.181168301E0,-1.428222656E-2,-2.207797766E-2,-8.978664875E-2
5.200183197E0,-1.206016541E-2,-4.702143371E-2,-8.494031429E-2
5.219198093E0,-1.909923553E-2,-7.932823896E-2,-8.725595474E-2
5.238212989E0,-1.261520386E-2,-5.918715894E-2,-1.085678339E-1
5.257227885E0,-2.383041382E-2,-1.920467615E-2,-1.429003477E-1
5.276242780E0,-8.951187134E-3,-1.784804463E-2,-1.492185593E-1
5.295257676E0,-1.857471466E-2,-4.607263207E-2,-1.289238930E-1
5.314272572E0,-1.080608368E-2,-6.919807196E-2,-1.056041718E-1
5.333287468E0,9.576797485E-3,-8.381530643E-2,-1.226545572E-1
5.352302364E0,1.166439056E-2,-9.904538095E-2,-1.738765240E-1
5.371317260E0,-7.266998291E-3,-1.233900934E-1,-1.986836195E-1
5.390332155E0,-6.340026855E-3,-1.016039103E-1,-2.156715393E-1
5.409347051E0,9.886741638E-3,-4.984194040E-2,-2.076181173E-1
5.428361947E0,-3.121089935E-2,7.376313210E-3,-1.696809530E-1
5.447376843E0,-7.286834717E-2,-1.762184501E-2,-1.307020187E-1
5.466391739E0,-5.359745026E-2,-3.258600831E-2,-1.383739710E-1
5.485406635E0,2.905845642E-3,-7.061329484E-2,-1.269861460E-1
5.504421530E0,1.967048645E-2,-7.816782594E-2,-1.038631201E-1
